neurotransmitter,class,subclass,supertype,cluster
,,,,3910 MB-MY Tph2 Glut-Sero_6
,,,,3911 MB-MY Tph2 Glut-Sero_7
,,,,3912 PB Lmx1a Glut_1
,,,,3913 PB Lmx1a Glut_1
,,,,3914 PB Lmx1a Glut_1
,,,,3915 PB Lmx1a Glut_1
,,,,3916 PB Lmx1a Glut_1
,,,,3917 PB Lmx1a Glut_1
,,,,3918 PB Lmx1a Glut_1
,,,,3919 PB Lmx1a Glut_1
,,,,3920 PB Lmx1a Glut_1
,,,,3921 PB Lmx1a Glut_1
,,,,3922 PB Lmx1a Glut_1
,,,,3923 PB Lmx1a Glut_1
,,,,3924 PB Lmx1a Glut_1
,,,,3925 PB Lmx1a Glut_1
,,,,3926 PB Lmx1a Glut_2
,,,,3927 PB Lmx1a Glut_3
,,,,3928 PB Lmx1a Glut_3
,,,,3929 PB Lmx1a Glut_3
,,,,3930 PB Lmx1a Glut_3
,,,,3931 PB Lmx1a Glut_3
,,,,3932 PB Lmx1a Glut_3
,,,,3933 PB Lmx1a Glut_3
,,,,3934 PB Lmx1a Glut_3
,,,,3935 PB Lmx1a Glut_3
,,,,3936 PB Lmx1a Glut_4
,,,,3937 PB Lmx1a Glut_4
,,,,3938 PB Lmx1a Glut_4
,,,,3939 PB Lmx1a Glut_4
,,,,3940 PB Lmx1a Glut_4
,,,,3941 PB Lmx1a Glut_4
,,,,3942 PB Lmx1a Glut_4
,,,,3943 PB Lmx1a Glut_4
,,,,3944 PB Lmx1a Glut_5
,,,,3945 PB Lmx1a Glut_5
,,,,3946 PB Lmx1a Glut_5
,,,,3947 PB Lmx1a Glut_5
,,,,3948 PB Lmx1a Glut_5
,,,,3949 PB Lmx1a Glut_5
,,,,3950 PB Lmx1a Glut_5
,,,,3951 PB Lmx1a Glut_6
,,,,3952 PB Lmx1a Glut_6
,,,,3953 PB Lmx1a Glut_6
,,,,3954 PB Lmx1a Glut_6
,,,,3955 PB Lmx1a Glut_6
,,,,3956 PB Lmx1a Glut_7
,,,,3957 PB Lmx1a Glut_7
,,,,3958 PB Lmx1a Glut_7
,,,,3959 PSV Lmx1a Trpv6 Glut_1
,,,,3960 PSV Lmx1a Trpv6 Glut_1
,,,,3961 PSV Lmx1a Trpv6 Glut_1
,,,,3962 PSV Lmx1a Trpv6 Glut_1
,,,,3963 PB-SUT Tlx3 Lhx2 Glut_1
,,,,3964 PB-SUT Tlx3 Lhx2 Glut_1
,,,,3965 PB Pax5 Glut_1
,,,,3966 PB Pax5 Glut_1
,,,,3967 PB Pax5 Glut_1
,,,,3968 PB Pax5 Glut_1
,,,,3969 PB Pax5 Glut_1
,,,,3970 PB Pax5 Glut_1
,,,,3971 PB Pax5 Glut_1
,,,,3972 PB Pax5 Glut_2
,,,,3973 PB Pax5 Glut_2
,,,,3974 LDT-PCG Vsx2 Lhx4 Glut_1
,,,,3975 LDT-PCG Vsx2 Lhx4 Glut_1
,,,,3976 LDT-PCG Vsx2 Lhx4 Glut_1
,,,,3977 LDT-PCG Vsx2 Lhx4 Glut_1
,,,,3978 LDT-PCG Vsx2 Lhx4 Glut_1
,,,,3979 LDT-PCG Vsx2 Lhx4 Glut_1
,,,,3980 LDT-PCG Vsx2 Lhx4 Glut_2
,,,,3981 LDT-PCG Vsx2 Lhx4 Glut_2
,,,,3982 LDT-PCG Vsx2 Lhx4 Glut_2
,,,,3983 LDT-PCG Vsx2 Lhx4 Glut_2
,,,,3984 LDT-PCG Vsx2 Lhx4 Glut_2
,,,,3985 LDT-PCG Vsx2 Lhx4 Glut_2
,,,,3986 LDT-PCG Vsx2 Lhx4 Glut_2
,,,,3987 LDT-PCG Vsx2 Lhx4 Glut_3
,,,,3988 LDT-PCG Vsx2 Lhx4 Glut_3
,,,,3989 LDT-PCG Vsx2 Lhx4 Glut_3
,,,,3990 LDT-PCG Vsx2 Lhx4 Glut_3
,,,,3991 LDT-PCG Vsx2 Lhx4 Glut_3
,,,,3992 LDT-PCG Vsx2 Lhx4 Glut_4
,,,,3993 LDT-PCG Vsx2 Lhx4 Glut_4
,,,,3994 LDT-PCG Vsx2 Lhx4 Glut_4
,,,,3995 LDT-PCG Vsx2 Lhx4 Glut_4
,,,,3996 LDT-PCG Vsx2 Lhx4 Glut_4
,,,,3997 LDT-PCG Vsx2 Lhx4 Glut_4
,,,,3998 LDT-PCG Vsx2 Lhx4 Glut_4
,,,,3999 LDT-PCG Vsx2 Lhx4 Glut_5
,,,,4000 LDT-PCG Vsx2 Lhx4 Glut_5
,,,,4001 LDT-PCG Vsx2 Lhx4 Glut_5
,,,,4002 LDT-PCG Vsx2 Lhx4 Glut_5
,,,,4003 LDT-PCG Vsx2 Lhx4 Glut_5
,,,,4004 LDT-PCG Vsx2 Lhx4 Glut_5
,,,,4005 LDT-PCG Vsx2 Lhx4 Glut_6
,,,,4006 LDT-PCG Vsx2 Lhx4 Glut_6
,,,,4007 LDT-PCG Vsx2 Lhx4 Glut_6
,,,,4008 LDT-PCG Vsx2 Lhx4 Glut_6
,,,,4009 LDT-PCG Vsx2 Lhx4 Glut_7
,,,,4010 LDT-PCG Vsx2 Lhx4 Glut_7
,,,,4011 LDT-PCG Vsx2 Lhx4 Glut_7
,,,,4012 LDT-PCG Vsx2 Lhx4 Glut_7
,,,,4013 LDT-PCG Vsx2 Lhx4 Glut_7
,,,,4014 LDT-PCG Vsx2 Lhx4 Glut_7
,,,,4015 LDT-PCG Vsx2 Lhx4 Glut_8
,,,,4016 LDT-PCG Vsx2 Lhx4 Glut_8
,,,,4017 LDT-PCG Vsx2 Lhx4 Glut_8
,,,,4018 PB Evx2 Glut_1
,,,,4019 PB Evx2 Glut_1
,,,,4020 PB Evx2 Glut_1
,,,,4021 PB Evx2 Glut_1
,,,,4022 PB Evx2 Glut_1
,,,,4023 PB Evx2 Glut_1
,,,,4024 PB Evx2 Glut_2
,,,,4025 PB Evx2 Glut_2
,,,,4026 PB Evx2 Glut_2
,,,,4027 PB Evx2 Glut_2
,,,,4028 PB Evx2 Glut_2
,,,,4029 PB Evx2 Glut_2
,,,,4030 PB Evx2 Glut_2
,,,,4031 PB Evx2 Glut_2
,,,,4032 PB Evx2 Glut_2
,,,,4033 PB Evx2 Glut_3
,,,,4034 PB Evx2 Glut_3
,,,,4035 PB Evx2 Glut_3
,,,,4036 PB Evx2 Glut_3
,,,,4037 PB Evx2 Glut_3
,,,,4038 PB Evx2 Glut_3
,,,,4039 PB Evx2 Glut_3
,,,,4040 PB Evx2 Glut_3
,,,,4041 PB Evx2 Glut_3
,,,,4042 PB Evx2 Glut_3
,,,,4043 PB Evx2 Glut_3
,,,,4044 PB Evx2 Glut_3
,,,,4045 PB Evx2 Glut_3
,,,,4046 PB Evx2 Glut_3
,,,,4047 PB Evx2 Glut_3
,,,,4048 PB Evx2 Glut_3
,,,,4049 PB Evx2 Glut_4
,,,,4050 PB Evx2 Glut_4
,,,,4051 PB Evx2 Glut_4
,,,,4052 PB Evx2 Glut_4
,,,,4053 PB Evx2 Glut_4
,,,,4054 PB Evx2 Glut_4
,,,,4055 PB Evx2 Glut_5
,,,,4056 PB Evx2 Glut_5
,,,,4057 PB Evx2 Glut_5
,,,,4058 PB Evx2 Glut_5
,,,,4059 PB Evx2 Glut_5
,,,,4060 PB Evx2 Glut_5
,,,,4061 PB Evx2 Glut_5
,,,,4062 PB Evx2 Glut_5
,,,,4063 PB Evx2 Glut_6
,,,,4064 PB Evx2 Glut_6
,,,,4065 PB Evx2 Glut_6
,,,,4066 PB Evx2 Glut_6
,,,,4067 PB Evx2 Glut_6
,,,,4068 PB Evx2 Glut_6
,,,,4069 PB Evx2 Glut_6
,,,,4070 PB Evx2 Glut_6
,,,,4071 PB Evx2 Glut_6
,,,,4072 PB Evx2 Glut_7
,,,,4073 PB Evx2 Glut_7
,,,,4074 PB Evx2 Glut_7
,,,,4075 PB Evx2 Glut_7
,,,,4076 PB Evx2 Glut_8
,,,,4077 PB Evx2 Glut_8
,,,,4078 PB Evx2 Glut_8
,,,,4079 PB Evx2 Glut_8
,,,,4080 PB Evx2 Glut_8
,,,,4081 PB Evx2 Glut_8
,,,,4082 PB Evx2 Glut_8
,,,,4083 PB Evx2 Glut_9
,,,,4084 PB Evx2 Glut_9
,,,,4085 PB Evx2 Glut_9
,,,,4086 PB Evx2 Glut_9
,,,,4087 PB Evx2 Glut_9
,,,,4088 PB Evx2 Glut_9
,,,,4089 PB Evx2 Glut_9
,,,,4090 PB Evx2 Glut_9
,,,,4091 PB Evx2 Glut_9
,,,,4092 B-PB Nr4a2 Glut_1
,,,,4093 B-PB Nr4a2 Glut_1
,,,,4094 B-PB Nr4a2 Glut_1
,,,,4095 B-PB Nr4a2 Glut_1
,,,,4096 B-PB Nr4a2 Glut_1
,,,,4097 B-PB Nr4a2 Glut_1
,,,,4098 B-PB Nr4a2 Glut_1
,,,,4099 B-PB Nr4a2 Glut_2
,,,,4100 PCG-PRNr Vsx2 Nkx6-1 Glut_1
,,,,4101 PCG-PRNr Vsx2 Nkx6-1 Glut_1
,,,,4102 PCG-PRNr Vsx2 Nkx6-1 Glut_2
,,,,4103 PCG-PRNr Vsx2 Nkx6-1 Glut_2
,,,,4104 PCG-PRNr Vsx2 Nkx6-1 Glut_2
,,,,4105 PCG-PRNr Vsx2 Nkx6-1 Glut_2
,,,,4106 PCG-PRNr Vsx2 Nkx6-1 Glut_2
,,,,4107 PCG-PRNr Vsx2 Nkx6-1 Glut_2
,,,,4108 PCG-PRNr Vsx2 Nkx6-1 Glut_2
,,,,4109 PCG-PRNr Vsx2 Nkx6-1 Glut_2
,,,,4110 PCG-PRNr Vsx2 Nkx6-1 Glut_3
,,,,4111 PCG-PRNr Vsx2 Nkx6-1 Glut_3
,,,,4112 PCG-PRNr Vsx2 Nkx6-1 Glut_3
,,,,4113 PCG-PRNr Vsx2 Nkx6-1 Glut_3
,,,,4114 PCG-PRNr Vsx2 Nkx6-1 Glut_3
,,,,4115 PCG-PRNr Vsx2 Nkx6-1 Glut_3
,,,,4116 PCG-PRNr Vsx2 Nkx6-1 Glut_4
,,,,4117 PCG-PRNr Vsx2 Nkx6-1 Glut_5
,,,,4118 PCG-PRNr Vsx2 Nkx6-1 Glut_5
,,,,4119 PCG-PRNr Vsx2 Nkx6-1 Glut_5
,,,,4120 PCG-PRNr Vsx2 Nkx6-1 Glut_5
,,,,4121 PCG-PRNr Vsx2 Nkx6-1 Glut_6
,,,,4122 PCG-PRNr Vsx2 Nkx6-1 Glut_6
,,,,4123 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_1
,,,,4124 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_1
,,,,4125 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_1
,,,,4126 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_2
,,,,4127 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_2
,,,,4128 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_2
,,,,4129 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_2
,,,,4130 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_2
,,,,4131 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_2
,,,,4132 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_3
,,,,4133 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_3
,,,,4134 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_4
,,,,4135 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_4
,,,,4136 PRNc-PARN Tlx1 Glut_1
,,,,4137 PRNc-PARN Tlx1 Glut_1
,,,,4138 PRNc-PARN Tlx1 Glut_1
,,,,4139 PRNc-PARN Tlx1 Glut_1
,,,,4140 PRNc-PARN Tlx1 Glut_2
,,,,4141 PRNc-PARN Tlx1 Glut_2
,,,,4142 PRNc-PARN Tlx1 Glut_3
,,,,4143 PRNc-PARN Tlx1 Glut_3
,,,,4144 PB-PSV Phox2b Glut_1
,,,,4145 PB-PSV Phox2b Glut_1
,,,,4146 PB-PSV Phox2b Glut_1
,,,,4147 PSV Pvalb Lhx2 Glut_1
,,,,4148 PSV Pvalb Lhx2 Glut_1
,,,,4149 PSV Pvalb Lhx2 Glut_1
,,,,4150 PSV Pvalb Lhx2 Glut_2
,,,,4151 PSV Pvalb Lhx2 Glut_2
,,,,4152 PSV Pvalb Lhx2 Glut_3
,,,,4153 PSV Pvalb Lhx2 Glut_4
,,,,4154 PB-NTS Phox2b Ebf3 Lmx1b Glut_1
,,,,4155 PB-NTS Phox2b Ebf3 Lmx1b Glut_1
,,,,4156 PB-NTS Phox2b Ebf3 Lmx1b Glut_1
,,,,4157 PB-NTS Phox2b Ebf3 Lmx1b Glut_1
,,,,4158 PB-NTS Phox2b Ebf3 Lmx1b Glut_1
,,,,4159 PB-NTS Phox2b Ebf3 Lmx1b Glut_1
,,,,4160 PB-NTS Phox2b Ebf3 Lmx1b Glut_1
,,,,4161 PB-NTS Phox2b Ebf3 Lmx1b Glut_1
,,,,4162 PB-NTS Phox2b Ebf3 Lmx1b Glut_1
,,,,4163 PB-NTS Phox2b Ebf3 Lmx1b Glut_2
,,,,4164 PB-NTS Phox2b Ebf3 Lmx1b Glut_2
,,,,4165 PB-NTS Phox2b Ebf3 Lmx1b Glut_2
,,,,4166 PB-NTS Phox2b Ebf3 Lmx1b Glut_2
,,,,4167 PB-NTS Phox2b Ebf3 Lmx1b Glut_2
,,,,4168 PB-NTS Phox2b Ebf3 Lmx1b Glut_2
,,,,4169 PB-NTS Phox2b Ebf3 Lmx1b Glut_2
,,,,4170 PB-NTS Phox2b Ebf3 Lmx1b Glut_2
,,,,4171 PRNr Otp Nfib Glut_1
,,,,4172 PRNr Otp Nfib Glut_1
,,,,4173 PRNr Otp Nfib Glut_1
,,,,4174 IPN-LDT Vsx2 Nkx6-1 Glut_1
,,,,4175 IPN-LDT Vsx2 Nkx6-1 Glut_1
,,,,4176 IPN-LDT Vsx2 Nkx6-1 Glut_1
,,,,4177 IPN-LDT Vsx2 Nkx6-1 Glut_1
,,,,4178 IPN-LDT Vsx2 Nkx6-1 Glut_1
,,,,4179 IPN-LDT Vsx2 Nkx6-1 Glut_1
,,,,4180 IPN-LDT Vsx2 Nkx6-1 Glut_1
,,,,4181 IPN-LDT Vsx2 Nkx6-1 Glut_2
,,,,4182 IPN-LDT Vsx2 Nkx6-1 Glut_2
,,,,4183 IPN-LDT Vsx2 Nkx6-1 Glut_2
,,,,4184 IPN-LDT Vsx2 Nkx6-1 Glut_2
,,,,4185 IPN-LDT Vsx2 Nkx6-1 Glut_2
,,,,4186 LDT Vsx2 Nkx6-1 Nfib Glut_1
,,,,4187 LDT Vsx2 Nkx6-1 Nfib Glut_1
,,,,4188 LDT Vsx2 Nkx6-1 Nfib Glut_1
,,,,4189 LDT Vsx2 Nkx6-1 Nfib Glut_1
,,,,4190 LDT Vsx2 Nkx6-1 Nfib Glut_1
,,,,4191 LDT Vsx2 Nkx6-1 Nfib Glut_1
,,,,4192 LDT Vsx2 Nkx6-1 Nfib Glut_1
,,,,4193 LDT Vsx2 Nkx6-1 Nfib Glut_1
,,,,4194 LDT Vsx2 Nkx6-1 Nfib Glut_2
,,,,4195 NLL-SOC Spp1 Glut_1
,,,,4196 NLL-SOC Spp1 Glut_2
,,,,4197 MEV Ppp1r1c Glut_1
,,,,4198 PG-TRN-LRN Fat2 Glut_1
,,,,4199 PG-TRN-LRN Fat2 Glut_1
,,,,4200 PG-TRN-LRN Fat2 Glut_1
,,,,4201 IRN Vip Glut_1
,,,,4202 IRN Vip Glut_1
,,,,4203 IRN Vip Glut_1
,,,,4204 IRN Vip Glut_1
,,,,4205 PRP-NI-PRNc-GRN Otp Glut_1
,,,,4206 PRP-NI-PRNc-GRN Otp Glut_1
,,,,4207 PRP-NI-PRNc-GRN Otp Glut_2
,,,,4208 PRP-NI-PRNc-GRN Otp Glut_2
,,,,4209 PRP-NI-PRNc-GRN Otp Glut_2
,,,,4210 PRP-NI-PRNc-GRN Otp Glut_2
,,,,4211 PRP-NI-PRNc-GRN Otp Glut_2
,,,,4212 PRP-NI-PRNc-GRN Otp Glut_2
,,,,4213 PRP-NI-PRNc-GRN Otp Glut_3
,,,,4214 PRP-NI-PRNc-GRN Otp Glut_3
,,,,4215 PRP-NI-PRNc-GRN Otp Glut_3
,,,,4216 PRP-NI-PRNc-GRN Otp Glut_3
,,,,4217 PRP-NI-PRNc-GRN Otp Glut_3
,,,,4218 PRP-NI-PRNc-GRN Otp Glut_3
,,,,4219 PRP-NI-PRNc-GRN Otp Glut_3
,,,,4220 PRP-NI-PRNc-GRN Otp Glut_3
,,,,4221 PRP-NI-PRNc-GRN Otp Glut_4
,,,,4222 PRP-NI-PRNc-GRN Otp Glut_4
,,,,4223 PRP-NI-PRNc-GRN Otp Glut_4
,,,,4224 PRP-NI-PRNc-GRN Otp Glut_4
,,,,4225 NTS Phox2b Glut_1
,,,,4226 NTS Phox2b Glut_1
,,,,4227 NTS Phox2b Glut_1
,,,,4228 NTS Phox2b Glut_1
,,,,4229 NTS Phox2b Glut_1
,,,,4230 NTS Phox2b Glut_1
,,,,4231 NTS Phox2b Glut_1
,,,,4232 NTS Phox2b Glut_1
,,,,4233 NTS Phox2b Glut_1
,,,,4234 NTS Phox2b Glut_1
,,,,4235 NTS Phox2b Glut_1
,,,,4236 NTS Phox2b Glut_1
,,,,4237 NTS Phox2b Glut_2
,,,,4238 NTS Phox2b Glut_2
,,,,4239 NTS Phox2b Glut_2
,,,,4240 NTS Phox2b Glut_2
,,,,4241 NTS Phox2b Glut_2
,,,,4242 NTS Phox2b Glut_2
,,,,4243 NTS Phox2b Glut_2
,,,,4244 NTS Phox2b Glut_2
,,,,4245 NTS Phox2b Glut_3
,,,,4246 NTS Phox2b Glut_3
,,,,4247 NTS Phox2b Glut_3
,,,,4248 NTS Phox2b Glut_3
,,,,4249 NTS Phox2b Glut_3
,,,,4250 NTS Phox2b Glut_3
,,,,4251 NTS Phox2b Glut_3
,,,,4252 NTS Phox2b Glut_3
,,,,4253 NTS Phox2b Glut_3
,,,,4254 NTS Phox2b Glut_3
,,,,4255 NTS Phox2b Glut_3
,,,,4256 NTS Phox2b Glut_4
,,,,4257 NTS Phox2b Glut_4
,,,,4258 NTS Phox2b Glut_4
,,,,4259 NTS Phox2b Glut_4
,,,,4260 NTS Phox2b Glut_4
,,,,4261 NTS Phox2b Glut_4
,,,,4262 NTS Phox2b Glut_4
,,,,4263 NTS Phox2b Glut_4
,,,,4264 NTS Phox2b Glut_4
,,,,4265 NTS Phox2b Glut_4
,,,,4266 NTS Phox2b Glut_5
,,,,4267 NTS Phox2b Glut_5
,,,,4268 NTS Phox2b Glut_5
,,,,4269 NTS Phox2b Glut_5
,,,,4270 NTS Phox2b Glut_5
,,,,4271 NTS Phox2b Glut_5
,,,,4272 NTS Phox2b Glut_5
,,,,4273 NTS Phox2b Glut_5
,,,,4274 NTS Phox2b Glut_5
,,,,4275 NTS Phox2b Glut_5
,,,,4276 NTS Phox2b Glut_5
,,,,4277 NTS Phox2b Glut_5
,,,,4278 NTS Phox2b Glut_6
,,,,4279 NTS Phox2b Glut_6
,,,,4280 NTS Phox2b Glut_6
,,,,4281 NTS Phox2b Glut_6
,,,,4282 NTS Phox2b Glut_6
,,,,4283 NTS Phox2b Glut_6
,,,,4284 NTS Phox2b Glut_7
,,,,4285 NTS Phox2b Glut_7
,,,,4286 NTS Phox2b Glut_7
,,,,4287 NTS Phox2b Glut_7
,,,,4288 NTS Phox2b Glut_7
,,,,4289 NTS Phox2b Glut_7
,,,,4290 NTS Phox2b Glut_8
,,,,4291 NTS Phox2b Glut_8
,,,,4292 NTS Phox2b Glut_8
,,,,4293 NTS Phox2b Glut_8
,,,,4294 NTS Phox2b Glut_8
,,,,4295 NTS Phox2b Glut_8
,,,,4296 NTS Phox2b Glut_9
,,,,4297 NTS Phox2b Glut_9
,,,,4298 NTS Phox2b Glut_9
,,,,4299 NTS Phox2b Glut_9
,,,,4300 NTS Phox2b Glut_9
,,,,4301 NTS Phox2b Glut_9
,,,,4302 NTS Phox2b Glut_10
,,,,4303 NTS Phox2b Glut_10
,,,,4304 NTS Phox2b Glut_10
,,,,4305 NTS Phox2b Glut_10
,,,,4306 NTS Phox2b Glut_10
,,,,4307 NTS Phox2b Glut_10
,,,,4308 MARN-GRN Pyy Glut_1
,,,,4309 MDRNv Lhx4 Qrfprl Glut_1
,,,,4310 NTS Mbnl3 Glut_1
,,,,4311 PGRNd Dmbx1 Glut_1
,,,,4312 PGRNd Dmbx1 Glut_1
,,,,4313 PGRNd Dmbx1 Glut_1
,,,,4314 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4315 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4316 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4317 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4318 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4319 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4320 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4321 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4322 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4323 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4324 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4325 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4326 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4327 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4328 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4329 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4330 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4331 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4332 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4333 PGRN-PARN-MDRN Hoxb5 Glut_1
,,,,4334 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4335 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4336 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4337 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4338 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4339 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4340 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4341 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4342 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4343 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4344 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4345 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4346 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4347 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4348 PGRN-PARN-MDRN Hoxb5 Glut_2
,,,,4349 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4350 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4351 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4352 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4353 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4354 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4355 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4356 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4357 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4358 PGRN-PARN-MDRN Hoxb5 Glut_3
,,,,4359 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4360 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4361 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4362 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4363 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4364 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4365 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4366 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4367 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4368 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4369 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4370 PGRN-PARN-MDRN Hoxb5 Glut_4
,,,,4371 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4372 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4373 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4374 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4375 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4376 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4377 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4378 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4379 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4380 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4381 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4382 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4383 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4384 PGRN-PARN-MDRN Hoxb5 Glut_5
,,,,4385 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4386 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4387 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4388 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4389 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4390 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4391 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4392 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4393 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4394 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4395 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4396 PGRN-PARN-MDRN Hoxb5 Glut_6
,,,,4397 PGRN-PARN-MDRN Hoxb5 Glut_7
,,,,4398 PGRN-PARN-MDRN Hoxb5 Glut_7
,,,,4399 PGRN-PARN-MDRN Hoxb5 Glut_7
,,,,4400 PGRN-PARN-MDRN Hoxb5 Glut_7
,,,,4401 PGRN-PARN-MDRN Hoxb5 Glut_7
,,,,4402 PGRN-PARN-MDRN Hoxb5 Glut_7
,,,,4403 PGRN-PARN-MDRN Hoxb5 Glut_7
,,,,4404 PGRN-PARN-MDRN Hoxb5 Glut_7
,,,,4405 PGRN-PARN-MDRN Hoxb5 Glut_7
,,,,4406 MV-SPIV Slc6a2 Glut_1
,,,,4407 MV-SPIV Slc6a2 Glut_1
,,,,4408 MV-SPIV Slc6a2 Glut_1
,,,,4409 MV-SPIV Slc6a2 Glut_1
,,,,4410 MV-SPIV Slc6a2 Glut_1
,,,,4411 MV-SPIV Slc6a2 Glut_1
,,,,4412 SPVI-SPVC Tlx3 Ebf3 Glut_1
,,,,4413 SPVI-SPVC Tlx3 Ebf3 Glut_1
,,,,4414 SPVI-SPVC Tlx3 Ebf3 Glut_1
,,,,4415 SPVI-SPVC Tlx3 Ebf3 Glut_1
,,,,4416 SPVI-SPVC Tlx3 Ebf3 Glut_1
,,,,4417 SPVI-SPVC Tlx3 Ebf3 Glut_2
,,,,4418 SPVI-SPVC Tlx3 Ebf3 Glut_2
,,,,4419 SPVI-SPVC Tlx3 Ebf3 Glut_2
,,,,4420 SPVI-SPVC Tlx3 Ebf3 Glut_2
,,,,4421 SPVI-SPVC Tlx3 Ebf3 Glut_2
